index,OPE ID_x,School,City_x,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,OPE ID_y,Address,City_y,StateCode,ZipCode,Province,Country,PostalCode
96,001137,"CALIFORNIA STATE UNIVERSITY, FULLERTON",FULLERTON,CA,92831,Public,Subsidized,5119,5150,22398920.0,5151,11707707.0,,,,,,,,
98,001143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,SAN LUIS OBISPO,CA,93407,Public,Subsidized,2792,2804,12006582.0,2809,4138496.0,,,,,,,,
99,001150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,SACRAMENTO,CA,95819,Public,Subsidized,5259,5272,23539916.0,5283,12542759.0,,,,,,,,
100,021553,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,,CA,NaN,Private-Nonprofit,Subsidized,60,60,245428.0,60,80245.0,,,,,,,,
104,001144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",POMONA,CA,91768,Public,Subsidized,4560,4568,21422685.0,4580,10888088.0,,,,,,,,
107,001140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",LOS ANGELES,CA,90032,Public,Subsidized,3276,3276,15108789.0,3281,7717940.0,,,,,,,,
109,030113,"CALIFORNIA STATE UNIVERSITY, SAN MARCOS",SAN MARCOS,CA,92096,Public,Subsidized,3148,3166,13934458.0,3166,7288361.0,,,,,,,,
110,001142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",SAN BERNARDINO,CA,92407,Public,Subsidized,2773,2807,12453455.0,2814,6490598.0,,,,,,,,
111,001146,"CALIFORNIA STATE UNIVERSITY, CHICO",CHICO,CA,95929,Public,Subsidized,4186,4245,17775237.0,4245,9392707.0,,,,,,,,
113,001320,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",SANTA BARBARA,CA,93106,Public,Subsidized,2146,2194,9451430.0,2194,3154835.0,,,,,,,,
114,001147,"CALIFORNIA STATE UNIVERSITY, FRESNO",FRESNO,CA,93740,Public,Subsidized,3013,3052,13897920.0,3052,7116768.0,,,,,,,,
117,001141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CARSON,CA,90747,Public,Subsidized,2453,2456,11541640.0,2459,5983526.0,,,,,,,,
119,001321,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",SANTA CRUZ,CA,95064,Public,Subsidized,2764,2766,12635521.0,2766,4296999.0,,,,,,,,
125,007993,"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD",BAKERSFIELD,CA,93311,Public,Subsidized,2183,2209,9457105.0,2209,5186385.0,,,,,,,,
135,001157,"CALIFORNIA STATE UNIVERSITY, STANISLAUS",TURLOCK,CA,95382,Public,Subsidized,1503,1514,6566897.0,1514,3489371.0,,,,,,,,
137,039803,CALIFORNIA STATE UNIVERSITY CHANNEL ISLANDS,CAMARILLO,CA,93012,Public,Subsidized,1362,1397,6163770.0,1399,3203631.0,,,,,,,,
139,032603,"CALIFORNIA STATE UNIVERSITY, MONTEREY BAY",SEASIDE,CA,93955,Public,Subsidized,1465,1475,6502709.0,1475,3466435.0,,,,,,,,
141,010365,CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,,CA,NaN,Private-Nonprofit,Subsidized,70,70,282059.0,70,141029.0,,,,,,,,
144,001293,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,COSTA MESA,CA,92626,Private-Nonprofit,Subsidized,926,926,3989041.0,926,1947972.0,,,,,,,,
146,001229,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,WHITTIER,CA,90604,Private-Nonprofit,Subsidized,14,14,35261.0,14,17631.0,,,,,,,,
148,038533,KECK GRADUATE INSTITUTE OF APPLIED LIFE SCIENCES,,CA,NaN,Private-Nonprofit,Subsidized,14,14,77000.0,14,38500.0,,,,,,,,
167,030277,PACIFIC COLLEGE OF ORIENTAL MEDICINE,SAN DIEGO,CA,92108,Proprietary,Subsidized,54,54,204190.0,54,106627.0,,,,,,,,
168,011112,FASHION INSTITUTE OF DESIGN & MERCHANDISING -,LOS ANGELES,CA,90015,Proprietary,Subsidized,277,277,1100892.0,277,466482.0,,,,,,,,
172,001220,MASTER'S UNIVERSITY AND SEMINARY (THE),SANTA CLARITA,CA,91321,Private-Nonprofit,Subsidized,447,447,1998481.0,447,963301.0,,,,,,,,
175,001134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY,VALLEJO,CA,94590,Public,Subsidized,255,266,1085123.0,266,549333.0,,,,,,,,
176,011460,NATIONAL UNIVERSITY - LA JOLLA,LA JOLLA,CA,92037,Private-Nonprofit,Subsidized,49,49,182873.0,56,95341.0,,,,,,,,
184,041698,GURNICK ACADEMY OF MEDICAL ARTS,SAN MATEO,CA,94403,Proprietary,Subsidized,388,388,1351037.0,388,677227.0,,,,,,,,
195,042501,SANTA BARBARA AND VENTURA COLLEGES OF LAW (THE),VENTURA,CA,93003,Private-Nonprofit,Subsidized,1,1,5500.0,1,2750.0,,,,,,,,
206,001161,CERRITOS COMMUNITY COLLEGE,NORWALK,CA,90650,Public,Subsidized,189,189,708724.0,204,383842.0,,,,,,,,
209,001370,UNIVERSITY OF COLORADO BOULDER,BOULDER,CO,80309,Public,Subsidized,4520,4557,19557841.0,4557,9932415.0,,,,,,,,
215,004509,UNIVERSITY OF COLORADO COLORADO SPRINGS,COLORADO SPRINGS,CO,80918,Public,Subsidized,2392,2440,10124991.0,2440,5253533.0,,,,,,,,
219,042087,COLORADO STATE UNIVERSITY - GLOBAL CAMPUS,GREENWOOD VILLAGE,CO,80111,Public,Subsidized,1357,1378,5224120.0,1998,2333562.0,,,,,,,,
221,007933,FRONT RANGE COMMUNITY COLLEGE-WESTMINSTER CAMPUS,WESTMINSTER,CO,80031,Public,Subsidized,1862,1862,6654682.0,1864,3338027.0,,,,,,,,
223,037763,AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS,BOULDER,CO,80305,Proprietary,Subsidized,1789,1794,5800361.0,1800,2932153.0,,,,,,,,
228,001417,UNIVERSITY OF CONNECTICUT,STORRS,CT,6269,Public,Subsidized,5977,6005,26336489.0,6026,13469098.0,,,,,,,,
233,001406,SOUTHERN CONNECTICUT STATE UNIVERSITY,NEW HAVEN,CT,6515,Public,Subsidized,3348,3664,14690808.0,3664,7362125.0,,,,,,,,
234,001378,CENTRAL CONNECTICUT STATE UNIVERSITY,NEW BRITAIN,CT,6050,Public,Subsidized,2905,2976,13016804.0,2976,6557935.0,,,,,,,,
240,001380,WESTERN CONNECTICUT STATE UNIVERSITY,DANBURY,CT,6810,Public,Subsidized,1509,1509,6567946.0,1511,3339495.0,,,,,,,,
241,001425,EASTERN CONNECTICUT STATE UNIVERSITY,WILLIMANTIC,CT,6226,Public,Subsidized,1274,1287,5796396.0,1287,2947115.0,,,,,,,,
242,022449,GOODWIN UNIVERSITY,,CT,NaN,Private-Nonprofit,Subsidized,1305,1313,4782228.0,1313,2491632.0,,,,,,,,
252,001429,GOLDEY-BEACOM COLLEGE,WILMINGTON,DE,19808,Private-Nonprofit,Subsidized,81,81,257240.0,81,141566.0,,,,,,,,
260,001441,UNIVERSITY OF THE DISTRICT OF COLUMBIA,,DC,NaN,Public,Subsidized,475,475,2040571.0,475,1023159.0,,,,,,,,
261,001460,TRINITY WASHINGTON UNIVERSITY,WASHINGTON,DC,20017,Private-Nonprofit,Subsidized,368,370,1444659.0,370,706170.0,,,,,,,,
264,001509,NOVA SOUTHEASTERN UNIVERSITY-DAVIE,FORT LAUDERDALE,FL,33314,Private-Nonprofit,Subsidized,2069,2299,4725253.0,2299,4725253.0,,,,,,,,
268,001537,UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL,33620,Public,Subsidized,5510,5530,12362565.0,5530,12362565.0,,,,,,,,
269,001479,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,DAYTONA BEACH,FL,32114,Private-Nonprofit,Subsidized,3704,3721,15293600.0,3885,7545216.0,,,,,,,,
270,021519,KEISER UNIVERSITY,,FL,NaN,Private-Nonprofit,Subsidized,5547,5607,20230336.0,6329,11208878.0,,,,,,,,
271,003954,UNIVERSITY OF CENTRAL FLORIDA-MAIN CAMPUS,ORLANDO,FL,32816,Public,Subsidized,8538,8539,19253333.0,8555,19253333.0,,,,,,,,
276,001480,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY,TALLAHASSEE,FL,32307,Public,Subsidized,2128,2156,9446601.0,2156,4764932.0,,,,,,,,
279,001468,SAINT THOMAS UNIVERSITY,MIAMI GARDENS,FL,33054,Private-Nonprofit,Subsidized,419,419,1685385.0,419,812891.0,,,,,,,,
281,006750,VALENCIA COLLEGE,ORLANDO,FL,32802,Public,Subsidized,4798,4838,17864092.0,4838,8953069.0,,,,,,,,
284,003955,UNIVERSITY OF WEST FLORIDA (THE),PENSACOLA,FL,32514,Public,Subsidized,1834,1834,7883982.0,1834,4145895.0,,,,,,,,
303,031155,ADVENTHEALTH UNIVERSITY,ORLANDO,FL,32803,Private-Nonprofit,Subsidized,227,228,862236.0,228,349439.0,,,,,,,,
304,001500,BROWARD COLLEGE,FORT LAUDERDALE,FL,33301,Public,Subsidized,1968,1969,7418220.0,1969,3708257.0,,,,,,,,
317,021415,SAVANNAH COLLEGE OF ART AND DESIGN,,GA,NaN,Private-Nonprofit,Subsidized,3249,3249,13286541.0,3249,4923916.0,,,,,,,,
323,001601,UNIVERSITY OF WEST GEORGIA,CARROLLTON,GA,30118,Public,Subsidized,3586,3588,14132827.0,3588,7298925.0,,,,,,,,
341,001573,GEORGIA SOUTHWESTERN STATE UNIVERSITY,AMERICUS,GA,31709,Public,Subsidized,839,850,3495332.0,850,1784177.0,,,,,,,,
342,001575,GORDON STATE COLLEGE,BARNESVILLE,GA,30204,Public,Subsidized,956,958,3599508.0,958,1800108.0,,,,,,,,
343,001541,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,TIFTON,GA,31794,Public,Subsidized,821,836,3202089.0,836,1604910.0,,,,,,,,
360,001605,CHAMINADE UNIVERSITY OF HONOLULU,HONOLULU,HI,96816,Private-Nonprofit,Subsidized,343,344,1492714.0,373,756458.0,,,,,,,,
364,041822,HAWAII MEDICAL COLLEGE,HONOLULU,HI,96814,Proprietary,Subsidized,94,94,298156.0,97,119607.0,,,,,,,,
368,001625,BRIGHAM YOUNG UNIVERSITY - IDAHO,REXBURG,ID,83460,Private-Nonprofit,Subsidized,2947,2962,10500155.0,3075,5571641.0,,,,,,,,
373,001617,COLLEGE OF IDAHO (THE),CALDWELL,ID,83605,Private-Nonprofit,Subsidized,273,273,1195265.0,275,600388.0,,,,,,,,
377,001775,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,CHAMPAIGN,IL,61820,Public,Subsidized,7734,7806,32883739.0,7806,16709388.0,,,,,,,,
378,001739,NORTHWESTERN UNIVERSITY,EVANSTON,IL,60208,Private-Nonprofit,Subsidized,919,924,3348934.0,924,1190164.0,,,,,,,,
379,001813,INDIANA UNIVERSITY - PURDUE UNIVERSITY INDIANAPOLIS,INDIANAPOLIS,IN,46202,Public,Subsidized,4577,4659,18159936.0,4659,9529057.0,,,,,,,,
380,006385,CHAMBERLAIN UNIVERSITY,ADDISON,IL,60101,Proprietary,Subsidized,8119,8123,33387427.0,10273,11951495.0,,,,,,,,
388,001759,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,EDWARDSVILLE,IL,62026,Public,Subsidized,2614,2689,10871766.0,2689,5620504.0,,,,,,,,
389,001758,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,CARBONDALE,IL,62901,Public,Subsidized,2752,2762,12104901.0,2762,6288404.0,,,,,,,,
399,001733,NATIONAL LOUIS UNIVERSITY,CHICAGO,IL,60603,Private-Nonprofit,Subsidized,488,491,1978418.0,491,677820.0,,,,,,,,
403,001753,SCHOOL OF THE ART INSTITUTE OF CHICAGO,CHICAGO,IL,60603,Private-Nonprofit,Subsidized,663,669,2997257.0,669,1533733.0,,,,,,,,
407,001768,SAINT XAVIER UNIVERSITY,CHICAGO,IL,60655,Private-Nonprofit,Subsidized,1417,1420,6151964.0,1420,3139923.0,,,,,,,,
414,009333,UNIVERSITY OF ILLINOIS AT SPRINGFIELD,SPRINGFIELD,IL,62703,Public,Subsidized,690,699,2982927.0,699,1557045.0,,,,,,,,
422,001732,NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE),LOMBARD,IL,60148,Private-Nonprofit,Subsidized,7,7,28000.0,7,14792.0,,,,,,,,
426,001684,GREENVILLE UNIVERSITY,GREENVILLE,IL,62246,Private-Nonprofit,Subsidized,352,352,1548188.0,352,778325.0,,,,,,,,
430,001693,NORTHEASTERN ILLINOIS UNIVERSITY,CHICAGO,IL,60625,Public,Subsidized,296,296,1319365.0,296,691496.0,,,,,,,,
442,006240,SAINT FRANCIS MEDICAL CENTER COLLEGE OF NURSING,PEORIA,IL,61603,Private-Nonprofit,Subsidized,81,81,377319.0,81,218690.0,,,,,,,,
451,001809,INDIANA UNIVERSITY - BLOOMINGTON,BLOOMINGTON,IN,47405,Public,Subsidized,5036,5308,20887993.0,5308,10674477.0,,,,,,,,
465,001827,PURDUE UNIVERSITY NORTHWEST,HAMMOND,IN,46323,Public,Subsidized,1645,1703,6770716.0,1704,3405634.0,,,,,,,,
474,001830,ROSE-HULMAN INSTITUTE OF TECHNOLOGY,TERRE HAUTE,IN,47803,Private-Nonprofit,Subsidized,666,666,2927292.0,667,987733.0,,,,,,,,
475,001836,ST MARYS COLLEGE,NOTRE DAME,IN,46556,Private-Nonprofit,Subsidized,659,661,2885947.0,662,1467735.0,,,,,,,,
476,001815,INDIANA UNIVERSITY - NORTHWEST,GARY,IN,46408,Public,Subsidized,703,712,2698799.0,712,1379312.0,,,,,,,,
477,001800,GRACE COLLEGE AND THEOLOGICAL SEMINARY,WINONA LAKE,IN,46590,Private-Nonprofit,Subsidized,607,607,2540239.0,607,1305628.0,,,,,,,,
478,001811,INDIANA UNIVERSITY - EAST,RICHMOND,IN,47374,Public,Subsidized,779,790,3084182.0,790,1602229.0,,,,,,,,
479,001817,INDIANA UNIVERSITY SOUTHEAST,NEW ALBANY,IN,47150,Public,Subsidized,623,665,2243471.0,665,1145905.0,,,,,,,,
484,001814,INDIANA UNIVERSITY - KOKOMO,KOKOMO,IN,46902,Public,Subsidized,450,457,1555677.0,457,804625.0,,,,,,,,
488,001835,SAINT MARY OF THE WOODS COLLEGE,SAINT MARY-OF-THE-WOODS,IN,47876,Private-Nonprofit,Subsidized,388,407,1486853.0,407,790534.0,,,,,,,,
495,001869,IOWA STATE UNIVERSITY OF SCIENCE & TECHNOLOGY,AMES,IA,50011,Public,Subsidized,6923,6932,28299875.0,6979,14965056.0,,,,,,,,
501,001889,ST AMBROSE UNIVERSITY - MAIN CAMPUS,DAVENPORT,IA,52803,Private-Nonprofit,Subsidized,1002,1003,4413575.0,1003,2258451.0,,,,,,,,
502,007120,DES MOINES AREA COMMUNITY COLLEGE,,IA,NaN,Public,Subsidized,1920,1946,6626184.0,1946,3076307.0,,,,,,,,
511,004598,IOWA WESTERN COMMUNITY COLLEGE - COUNCIL BLUFFS,COUNCIL BLUFFS,IA,51502,Public,Subsidized,1016,1021,3378137.0,1021,1698449.0,,,,,,,,
516,004075,EASTERN IOWA COMMUNITY COLLEGE DISTRICT,DAVENPORT,IA,52801,Public,Subsidized,898,900,3065163.0,905,1540026.0,,,,,,,,
531,001859,DORDT UNIVERSITY,SIOUX CENTER,IA,51250,Private-Nonprofit,Subsidized,398,398,1624945.0,398,831728.0,,,,,,,,
536,001949,WASHBURN UNIVERSITY - TOPEKA,TOPEKA,KS,66621,Public,Subsidized,1278,1283,5311498.0,1283,2715032.0,,,,,,,,
540,001943,UNIVERSITY OF SAINT MARY,LEAVENWORTH,KS,66048,Private-Nonprofit,Subsidized,430,430,1884028.0,430,946259.0,,,,,,,,
541,007032,MIDAMERICA NAZARENE UNIVERSITY,OLATHE,KS,66062,Private-Nonprofit,Subsidized,566,566,2466877.0,569,1260920.0,,,,,,,,
542,020907,CLEVELAND UNIVERSITY-KANSAS CITY,,KS,NaN,Private-Nonprofit,Subsidized,29,29,102500.0,29,59750.0,,,,,,,,
552,005498,WICHITA STATE UNIVERSITY CAMPUS OF APPLIED SCIENCES AND TECHNOLOGY,WICHITA,KS,67226,Public,Subsidized,572,574,1845241.0,574,806650.0,,,,,,,,
558,005265,NORTH CENTRAL KANSAS TECHNICAL COLLEGE,BELOIT,KS,67420,Public,Subsidized,184,184,666901.0,184,333453.0,,,,,,,,
562,001902,COWLEY COUNTY COMMUNITY COLLEGE & AREA VOCATIONAL TECHNICAL SCHOOL,ARKANSAS CITY,KS,67005,Public,Subsidized,370,370,1291475.0,370,670638.0,,,,,,,,
566,001925,KANSAS CITY KANSAS COMMUNITY COLLEGE,KANSAS CITY,KS,66112,Public,Subsidized,184,184,574821.0,186,158729.0,,,,,,,,
583,006961,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE,LOUISVILLE,KY,40202,Public,Subsidized,1079,1087,3826205.0,1087,1915939.0,,,,,,,,
591,001961,CENTRE COLLEGE OF KENTUCKY,DANVILLE,KY,40422,Private-Nonprofit,Subsidized,378,378,1585986.0,378,793006.0,,,,,,,,
599,006960,MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE,MAYSVILLE,KY,41056,Public,Subsidized,475,489,1713192.0,489,857482.0,,,,,,,,
600,001991,ELIZABETHTOWN COMMUNITY AND TECHNICAL COLLEGE,ELIZABETHTOWN,KY,42701,Public,Subsidized,473,499,1505046.0,502,756456.0,,,,,,,,
602,001979,WEST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,PADUCAH,KY,42002,Public,Subsidized,395,395,1308650.0,395,655470.0,,,,,,,,
603,005271,SOUTHCENTRAL KENTUCKY COMMUNITY AND TECHNICAL COLLEGE,BOWLING GREEN,KY,42101,Public,Subsidized,360,362,1197858.0,362,599669.0,,,,,,,,
604,002010,LOUISIANA STATE UNIVERSITY & AGRICULTURAL & MECHANICAL COLLEGE,BATON ROUGE,LA,70803,Public,Subsidized,4912,4930,20522173.0,4930,10667698.0,,,,,,,,
606,002025,SOUTHERN UNIVERSITY AND AGRICULTURAL & MECHANICAL COLG AT BATON ROUGE,BATON ROUGE,LA,70813,Public,Subsidized,2967,3003,12223605.0,3005,6124009.0,,,,,,,,
607,002014,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,NEW ORLEANS,LA,70112,Public,Subsidized,300,301,1364887.0,301,698468.0,,,,,,,,
608,002031,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,70503,Public,Subsidized,3779,3824,15607050.0,3824,8141864.0,,,,,,,,
610,002013,LOUISIANA STATE UNIVERSITY IN SHREVEPORT,SHREVEPORT,LA,71115,Public,Subsidized,569,569,2541649.0,569,1274038.0,,,,,,,,
616,002024,SOUTHEASTERN LOUISIANA UNIVERSITY,HAMMOND,LA,70402,Public,Subsidized,2889,2897,11630351.0,2897,5864916.0,,,,,,,,
618,002015,UNIVERSITY OF NEW ORLEANS (THE),NEW ORLEANS,LA,70148,Public,Subsidized,1770,1816,7525924.0,1816,3859240.0,,,,,,,,
619,008067,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER IN SHREVEPORT,SHREVEPORT,LA,71130,Public,Subsidized,13,13,55534.0,13,29142.0,,,,,,,,
623,031062,FRANCISCAN MISSIONARIES OF OUR LADY UNIVERSITY,BATON ROUGE,LA,70808,Private-Nonprofit,Subsidized,341,344,1502321.0,344,744063.0,,,,,,,,
625,002026,SOUTHERN UNIVERSITY AT NEW ORLEANS,NEW ORLEANS,LA,70126,Public,Subsidized,601,603,2395771.0,604,1199521.0,,,,,,,,
634,006760,UNIVERSITY OF MAINE - AUGUSTA,AUGUSTA,ME,4330,Public,Subsidized,565,571,2300980.0,582,1164918.0,,,,,,,,
635,002040,UNIVERSITY OF MAINE - FARMINGTON,FARMINGTON,ME,4938,Public,Subsidized,559,564,2449054.0,564,1264929.0,,,,,,,,
637,005525,SOUTHERN MAINE COMMUNITY COLLEGE,SOUTH PORTLAND,ME,4106,Public,Subsidized,558,558,1911253.0,558,952637.0,,,,,,,,
646,002105,UNIVERSITY OF MARYLAND - BALTIMORE COUNTY,BALTIMORE,MD,21250,Public,Subsidized,1938,2087,8241977.0,2087,4248505.0,,,,,,,,
649,002106,UNIVERSITY OF MARYLAND - EASTERN SHORE,PRINCESS ANNE,MD,21853,Public,Subsidized,698,703,3025420.0,706,1522657.0,,,,,,,,
651,002080,MARYLAND INSTITUTE COLLEGE OF ART,BALTIMORE,MD,21217,Private-Nonprofit,Subsidized,360,361,1556234.0,361,827157.0,,,,,,,,
660,002663,UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NM,87131,Public,Subsidized,2553,2603,10868192.0,2604,5930898.0,,,,,,,,
661,002089,PRINCE GEORGE'S COMMUNITY COLLEGE,LARGO,MD,20774,Public,Subsidized,633,633,2361018.0,633,1180525.0,,,,,,,,
662,010319,FORTIS INSTITUTE - TOWSON,TOWSON,MD,21204,Proprietary,Subsidized,742,743,2131944.0,848,883343.0,,,,,,,,
665,002095,SAINT MARY'S COLLEGE OF MARYLAND,ST. MARYS CITY,MD,20686,Public,Subsidized,370,373,1563720.0,373,782393.0,,,,,,,,
668,001436,CAPITOL TECHNOLOGY UNIVERSITY,LAUREL,MD,20708,Private-Nonprofit,Subsidized,99,99,420021.0,99,219387.0,,,,,,,,
670,034933,ALL-STATE CAREER,BALTIMORE,MD,21224,Proprietary,Subsidized,310,310,854837.0,349,369461.0,,,,,,,,
675,002221,UNIVERSITY OF MASSACHUSETTS - AMHERST,AMHERST,MA,1003,Public,Subsidized,6872,6895,30134032.0,6895,15606494.0,,,,,,,,
678,002161,UNIVERSITY OF MASSACHUSETTS - LOWELL,LOWELL,MA,1854,Public,Subsidized,4271,4271,19034521.0,4295,9660032.0,,,,,,,,
680,002222,UNIVERSITY OF MASSACHUSETTS AT BOSTON,BOSTON,MA,2125,Public,Subsidized,4463,4470,20013814.0,4476,10091541.0,,,,,,,,
683,002210,UNIVERSITY OF MASSACHUSETTS AT DARTMOUTH,NORTH DARTMOUTH,MA,2747,Public,Subsidized,2133,2141,9623026.0,2141,4871237.0,,,,,,,,
688,002233,WORCESTER POLYTECHNIC INST,WORCESTER,MA,1609,Private-Nonprofit,Subsidized,1598,1598,7213263.0,1598,3621043.0,,,,,,,,
694,022316,MGH INSTITUTE OF HEALTH PROFESSIONS,,MA,NaN,Private-Nonprofit,Subsidized,35,35,183457.0,35,91729.0,,,,,,,,
702,002118,ASSUMPTION UNIVERSITY,WORCESTER,MA,1615,Private-Nonprofit,Subsidized,809,809,3428761.0,809,1714517.0,,,,,,,,
705,002178,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,2139,Private-Nonprofit,Subsidized,65,65,276343.0,65,139582.0,,,,,,,,
707,002123,BECKER COLLEGE,WORCESTER,MA,1615,Private-Nonprofit,Subsidized,700,700,3140775.0,700,1580090.0,,,,,,,,
712,006324,LABOURE COLLEGE,MILTON,MA,2126,Private-Nonprofit,Subsidized,588,592,2141249.0,592,1074394.0,,,,,,,,
714,002187,MASSACHUSETTS COLLEGE OF LIBERAL ARTS,NORTH ADAMS,MA,1247,Public,Subsidized,567,576,2510430.0,576,1275837.0,,,,,,,,
