index,OPE ID_x,School_x,City_x,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,OPE ID_y,School,Address,City,StateCode,ZipCode,Province,Country,PostalCode
301,023058,FLORIDA CAREER COLLEGE,,FL,NaN,Proprietary,Subsidized,1010,1010,3308378.0,1051,1665472.0,016302,FLORIDA CAREER COLLEGE,1321 SW 107 AVENUE,MIAMI,FL,33174.0,,,
317,021415,SAVANNAH COLLEGE OF ART AND DESIGN,,GA,NaN,Private-Nonprofit,Subsidized,3249,3249,13286541.0,3249,4923916.0,,,,,,,,,
319,020748,LIFE UNIVERSITY,,GA,NaN,Private-Nonprofit,Subsidized,224,224,930839.0,354,535215.0,014170,LIFE UNIVERSITY,1269 BARCLAY CIRCLE  SUITE A,MARIETTA,GA,30060.0,,,
356,022884,GWINNETT TECHNICAL COLLEGE,,GA,NaN,Public,Subsidized,1157,1162,2018564.0,1163,1014352.0,016139,GWINNETT TECHNICAL COLLEGE,5150 SUGARLOAF PARKWAY,LAWRENCEVILLE,GA,30043.0,,,
361,021078,UNIVERSITY OF HAWAII - WEST OAHU,,HI,NaN,Public,Subsidized,520,523,2368906.0,523,1199069.0,014315,UNIVERSITY OF HAWAII - WEST OAHU,91-1001 FARRINGTON HIGHWAY,KAPOLEI,HI,96707.0,,,
449,025228,FOX COLLEGE,,IL,NaN,Proprietary,Subsidized,178,178,564979.0,178,318849.0,016924,FOX COLLEGE,6640 S. CICERO,BEDFORD PARK,IL,60638.0,,,
494,021408,MARTIN UNIVERSITY,,IN,NaN,Private-Nonprofit,Subsidized,98,98,382649.0,98,195325.0,014975,MARTIN UNIVERSITY,2186 NORTH SHERMAN DRIVE,INDIANAPOLIS,IN,46218.0,,,
502,007120,DES MOINES AREA COMMUNITY COLLEGE,,IA,NaN,Public,Subsidized,1920,1946,6626184.0,1946,3076307.0,,,,,,,,,
510,001865,IOWA CENTRAL COMMUNITY COLLEGE,,IA,NaN,Public,Subsidized,1060,1062,3538618.0,1076,1747950.0,004597,IOWA CENTRAL COMMUNITY COLLEGE,330 AVENUE M,FORT DODGE,IA,50501.0,,,
527,007316,WESTERN IOWA TECH COMMUNITY COLLEGE,,IA,NaN,Public,Subsidized,630,632,2024054.0,632,1012313.0,004590,WESTERN IOWA TECH COMMUNITY COLLEGE,4647 STONE AVE,SIOUX CITY,IA,51106.0,,,
529,008403,INDIAN HILLS COMMUNITY COLLEGE,,IA,NaN,Public,Subsidized,570,570,2077639.0,570,599564.0,008298,INDIAN HILLS COMMUNITY COLLEGE,525 GRANDVIEW,OTTUMWA,IA,52501.0,,,
542,020907,CLEVELAND UNIVERSITY-KANSAS CITY,,KS,NaN,Private-Nonprofit,Subsidized,29,29,102500.0,29,59750.0,,,,,,,,,
577,030837,GALEN HEALTH INSTITUTES,,KY,NaN,Proprietary,Subsidized,2586,2596,8652031.0,2596,4027381.0,015924,GALEN HEALTH INSTITUTES,1031 ZORN AVENUE,LOUISVILLE,KY,40207.0,,,
612,004625,DELGADO COMMUNITY COLLEGE,,LA,NaN,Public,Subsidized,3927,3939,14437421.0,3939,7235213.0,004626,DELGADO COMMUNITY COLLEGE,615 CITY PARK AVE,NEW ORLEANS,LA,70119.0,,,
621,020554,BOSSIER PARISH COMMUNITY COLLEGE,,LA,NaN,Public,Subsidized,1859,1859,6892517.0,1859,3447821.0,012033,BOSSIER PARISH COMMUNITY COLLEGE,6220 EAST TEXAS,BOSSIER CITY,LA,71111.0,,,
629,002054,UNIVERSITY OF SOUTHERN MAINE,,ME,NaN,Public,Subsidized,1473,1485,5854972.0,1497,3060111.0,009762,UNIVERSITY OF SOUTHERN MAINE,96 FALMOUTH STREET,PORTLAND,ME,4104.0,,,
694,022316,MGH INSTITUTE OF HEALTH PROFESSIONS,,MA,NaN,Private-Nonprofit,Subsidized,35,35,183457.0,35,91729.0,,,,,,,,,
726,020630,MONTSERRAT COLLEGE OF ART,,MA,NaN,Private-Nonprofit,Subsidized,231,231,997385.0,231,503388.0,013774,MONTSERRAT COLLEGE OF ART,23 ESSEX ST  PO BOX 26,BEVERLY,MA,1915.0,,,
784,020603,MIAT COLLEGE OF TECHNOLOGY,,MI,NaN,Proprietary,Subsidized,210,210,717884.0,257,298228.0,013603,MIAT COLLEGE OF TECHNOLOGY,2955 SOUTH HAGGERTY ROAD,CANTON,MI,48188.0,,,
787,023397,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,188,188,611248.0,199,295926.0,014621,ROSS MEDICAL EDUCATION CENTER,1036 GILBERT ST,FLINT,MI,48532.0,,,
787,023397,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,188,188,611248.0,199,295926.0,015367,ROSS MEDICAL EDUCATION CENTER,4106 W. SAGINAW HIGHWAY,LANSING,MI,48917.0,,,
787,023397,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,188,188,611248.0,199,295926.0,015383,ROSS MEDICAL EDUCATION CENTER,27120 DEQUINDRE,WARREN,MI,48092.0,,,
787,023397,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,188,188,611248.0,199,295926.0,016611,ROSS MEDICAL EDUCATION CENTER,5757 WHITMORE LAKE RD STE 800,BRIGHTON,MI,48116.0,,,
802,009058,BETHEL UNIVERSITY,,MN,NaN,Private-Nonprofit,Subsidized,1078,1078,4789644.0,1087,2351626.0,002338,BETHEL UNIVERSITY,3900 BETHEL DRIVE,SAINT PAUL,MN,55112.0,,,
808,011732,MAYO CLINIC COLLEGE OF MEDICINE AND SCIENCE,,MN,NaN,Private-Nonprofit,Subsidized,30,30,147457.0,30,59528.0,,,,,,,,,
880,020682,COX COLLEGE,,MO,NaN,Private-Nonprofit,Subsidized,273,273,1093845.0,273,590304.0,,,,,,,,,
894,002471,SAINT LOUIS COMMUNITY COLLEGE,,MO,NaN,Public,Subsidized,449,449,1368178.0,450,685060.0,,,,,,,,,
897,008080,STATE FAIR COMMUNITY COLLEGE,,MO,NaN,Public,Subsidized,302,315,1062990.0,371,352076.0,007628,STATE FAIR COMMUNITY COLLEGE,3201 WEST 16TH STREET,SEDALIA,MO,65301.0,,,
898,023616,CONCORDE CAREER COLLEGE,,MO,NaN,Proprietary,Subsidized,208,208,722101.0,238,328136.0,016820,CONCORDE CAREER COLLEGE,3239 BROADWAY,KANSAS CITY,MO,64111.0,,,
916,009743,BELLEVUE UNIVERSITY,,NE,NaN,Private-Nonprofit,Subsidized,1287,1300,5752226.0,1300,2056904.0,002538,BELLEVUE UNIVERSITY,1000 GALVIN ROAD SOUTH,BELLEVUE,NE,68005.0,,,
923,025083,SOUTHEAST COMMUNITY COLLEGE,,NE,NaN,Public,Subsidized,979,979,3240190.0,979,1203504.0,,,,,,,,,
927,006404,NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH,,NE,NaN,Private-Nonprofit,Subsidized,426,429,1584161.0,429,916035.0,,,,,,,,,
954,021922,THOMAS EDISON STATE UNIVERSITY,,NJ,NaN,Public,Subsidized,729,729,3104456.0,729,1160410.0,011648,THOMAS EDISON STATE UNIVERSITY,101 WEST STATE STREET,TRENTON,NJ,8608.0,,,
969,002650,UNIVERSITY OF THE SOUTHWEST,,NM,NaN,Private-Nonprofit,Subsidized,180,180,774207.0,180,371564.0,013935,UNIVERSITY OF THE SOUTHWEST,6610 NORTH LOVINGTON HIGHWAY,HOBBS,NM,88240.0,,,
996,020662,"NEW SCHOOL, THE",,NY,NaN,Private-Nonprofit,Subsidized,945,945,4070522.0,946,2063253.0,,,,,,,,,
1074,007572,AMERICAN MUSICAL & DRAMATIC ACADEMY,,NY,NaN,Private-Nonprofit,Subsidized,215,215,905525.0,215,492763.0,,,,,,,,,
1095,020690,NEW YORK SCHOOL OF INTERIOR DESIGN,,NY,NaN,Private-Nonprofit,Subsidized,67,67,284093.0,67,155797.0,013606,NEW YORK SCHOOL OF INTERIOR DESIGN,170 E. 70TH ST.,NEW YORK,NY,10021.0,,,
1165,003024,CASE WESTERN RESERVE UNIVERSITY,,OH,NaN,Private-Nonprofit,Subsidized,1192,1197,5139623.0,1197,2606623.0,,,,,,,,,
1198,010881,STARK STATE COLLEGE,,OH,NaN,Public,Subsidized,1158,1211,3298395.0,1211,915346.0,011141,STARK STATE COLLEGE,6200 FRANK AVENUE NORTHWEST,NORTH CANTON,OH,44720.0,,,
1229,023068,PLATT COLLEGE,,OK,NaN,Proprietary,Subsidized,2396,2467,7208651.0,3318,3570308.0,,,,,,,,,
1235,009618,TULSA WELDING SCHOOL,,OK,NaN,Proprietary,Subsidized,775,775,2605258.0,785,1314522.0,015733,TULSA WELDING SCHOOL,2545 EAST 11TH STREET,TULSA,OK,74104.0,,,
1275,003379,UNIVERSITY OF PITTSBURGH,,PA,NaN,Public,Subsidized,8716,8834,37734414.0,8834,19437245.0,008815,UNIVERSITY OF PITTSBURGH,4200 FIFTH AVENUE,PITTSBURGH,PA,15260.0,,,
1280,012393,THOMAS JEFFERSON UNIVERSITY,,PA,NaN,Private-Nonprofit,Subsidized,1236,1241,5194458.0,1357,2710319.0,013549,THOMAS JEFFERSON UNIVERSITY,1020 WALNUT STREET,PHILADELPHIA,PA,19107.0,,,
1371,007912,THADDEUS STEVENS COLLEGE OF TECHNOLOGY,,PA,NaN,Public,Subsidized,350,350,1153264.0,350,577095.0,014990,THADDEUS STEVENS COLLEGE OF TECHNOLOGY,750 EAST KING STREET,LANCASTER,PA,17602.0,,,
1425,007764,SOUTHEAST TECHNICAL COLLEGE,,SD,NaN,Public,Subsidized,827,827,2918848.0,827,1511844.0,008285,SOUTHEAST TECHNICAL COLLEGE,2320 NORTH CAREER AVENUE,SIOUX FALLS,SD,57107.0,,,
1490,010674,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,,TX,NaN,Public,Subsidized,471,472,1866895.0,472,1107845.0,,,,,,,,,
1500,004951,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,,TX,NaN,Public,Subsidized,86,87,434013.0,87,217008.0,,,,,,,,,
1511,010633,HOUSTON COMMUNITY COLLEGE,,TX,NaN,Public,Subsidized,2646,2650,9382747.0,2651,4696602.0,010422,HOUSTON COMMUNITY COLLEGE,3100 MAIN STREET,HOUSTON,TX,77002.0,,,
1513,023053,PARKER UNIVERSITY,,TX,NaN,Private-Nonprofit,Subsidized,75,75,285990.0,75,146408.0,016293,PARKER UNIVERSITY,2540 WALNUT HILL LANE,DALLAS,TX,75229.0,,,
1526,023620,UNIVERSAL TECHNICAL INSTITUTE,,TX,NaN,Proprietary,Subsidized,1096,1096,3797564.0,1107,1923872.0,016696,UNIVERSAL TECHNICAL INSTITUTE,721 LOCKHAVEN DR,HOUSTON,TX,77073.0,,,
1528,004952,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,,TX,NaN,Public,Subsidized,229,229,1140443.0,229,549055.0,,,,,,,,,
1534,023614,COLLIN COUNTY COMMUNITY COLLEGE DISTRICT,,TX,NaN,Public,Subsidized,1910,1910,6723622.0,1910,3361491.0,016792,COLLIN COUNTY COMMUNITY COLLEGE DISTRICT,3452 SPUR 399,MCKINNEY,TX,75069.0,,,
1584,020530,LIBERTY UNIVERSITY,,VA,NaN,Private-Nonprofit,Subsidized,15516,16132,71682122.0,16132,29049319.0,010392,LIBERTY UNIVERSITY,1971 UNIVERSITY BOULEVARD,LYNCHBURG,VA,24515.0,,,
1701,020771,MILWAUKEE INSTITUTE OF ART & DESIGN,,WI,NaN,Private-Nonprofit,Subsidized,614,615,2522041.0,615,1320060.0,,,,,,,,,
1711,007289,CENTRAL WYOMING COLLEGE,,WY,NaN,Public,Subsidized,100,101,328466.0,108,169847.0,005018,CENTRAL WYOMING COLLEGE,2660 PECK AVE,RIVERTON,WY,82501.0,,,
1716,003941,UNIVERSIDAD ANA G. MÉNDEZ - CAROLINA CAMPUS,,PR,NaN,Private-Nonprofit,Subsidized,623,625,2104219.0,625,1432675.0,,,,,,,,,
1718,021618,MUSICIANS INSTITUTE,,CA,NaN,Proprietary,Subsidized,72,72,234688.0,78,85400.0,015238,MUSICIANS INSTITUTE,6752 HOLLYWOOD BOULEVARD,HOLLYWOOD,CA,90028.0,,,
1719,021102,COLUMBIA COLLEGE HOLLYWOOD,,CA,NaN,Private-Nonprofit,Subsidized,137,137,542576.0,140,194950.0,,,,,,,,,
1731,021142,JOHNSON COLLEGE,,PA,NaN,Private-Nonprofit,Subsidized,277,277,997042.0,277,514620.0,014734,JOHNSON COLLEGE,3427 NORTH MAIN AVE,SCRANTON,PA,18508.0,,,
1733,022699,PENNSYLVANIA COLLEGE OF ART & DESIGN,,PA,NaN,Private-Nonprofit,Subsidized,188,188,834629.0,188,417316.0,016021,PENNSYLVANIA COLLEGE OF ART & DESIGN,204 NORTH PRINCE STREET,LANCASTER,PA,17603.0,,,
1741,021571,CONCORDE CAREER COLLEGE,,TN,NaN,Proprietary,Subsidized,218,218,734227.0,231,343859.0,015510,CONCORDE CAREER COLLEGE,5100 POPLAR AVENUE-SUITE 132,MEMPHIS,TN,38137.0,,,
1743,021366,WISCONSIN LUTHERAN COLLEGE,,WI,NaN,Private-Nonprofit,Subsidized,528,528,2254090.0,528,1152468.0,014658,WISCONSIN LUTHERAN COLLEGE,8800 WEST BLUEMOUND ROAD,MILWAUKEE,WI,53226.0,,,
1756,025336,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,117,117,405238.0,117,202620.0,014621,ROSS MEDICAL EDUCATION CENTER,1036 GILBERT ST,FLINT,MI,48532.0,,,
1756,025336,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,117,117,405238.0,117,202620.0,015367,ROSS MEDICAL EDUCATION CENTER,4106 W. SAGINAW HIGHWAY,LANSING,MI,48917.0,,,
1756,025336,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,117,117,405238.0,117,202620.0,015383,ROSS MEDICAL EDUCATION CENTER,27120 DEQUINDRE,WARREN,MI,48092.0,,,
1756,025336,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,117,117,405238.0,117,202620.0,016611,ROSS MEDICAL EDUCATION CENTER,5757 WHITMORE LAKE RD STE 800,BRIGHTON,MI,48116.0,,,
1773,004579,INTERNATIONAL BUSINESS COLLEGE,,IN,NaN,Proprietary,Subsidized,127,127,413725.0,127,224392.0,014207,INTERNATIONAL BUSINESS COLLEGE,7205 SHADELAND STATION,INDIANAPOLIS,IN,46256.0,,,
1774,001848,SOUTHEASTERN COMMUNITY COLLEGE,,IA,NaN,Public,Subsidized,314,318,1081509.0,318,543302.0,004603,SOUTHEASTERN COMMUNITY COLLEGE,1500 WEST AGENCY RD,WEST BURLINGTON,IA,52655.0,,,
1786,020997,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,103,103,350171.0,104,176399.0,014621,ROSS MEDICAL EDUCATION CENTER,1036 GILBERT ST,FLINT,MI,48532.0,,,
1786,020997,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,103,103,350171.0,104,176399.0,015367,ROSS MEDICAL EDUCATION CENTER,4106 W. SAGINAW HIGHWAY,LANSING,MI,48917.0,,,
1786,020997,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,103,103,350171.0,104,176399.0,015383,ROSS MEDICAL EDUCATION CENTER,27120 DEQUINDRE,WARREN,MI,48092.0,,,
1786,020997,ROSS MEDICAL EDUCATION CENTER,,MI,NaN,Proprietary,Subsidized,103,103,350171.0,104,176399.0,016611,ROSS MEDICAL EDUCATION CENTER,5757 WHITMORE LAKE RD STE 800,BRIGHTON,MI,48116.0,,,
1789,025306,SAINT CHARLES COMMUNITY COLLEGE,,MO,NaN,Public,Subsidized,186,188,601376.0,188,355783.0,017027,SAINT CHARLES COMMUNITY COLLEGE,4601 MID RIVERS MALL DRIVE,COTTLEVILLE,MO,63376.0,,,
1790,022027,OZARK CHRISTIAN COLLEGE,,MO,NaN,Private-Nonprofit,Subsidized,157,157,639657.0,157,305591.0,015569,OZARK CHRISTIAN COLLEGE,1111 NORTH MAIN,JOPLIN,MO,64801.0,,,
1796,006477,CABARRUS COLLEGE OF HEALTH SCIENCES,,NC,NaN,Private-Nonprofit,Subsidized,164,164,605946.0,164,333556.0,015358,CABARRUS COLLEGE OF HEALTH SCIENCES,401 MEDICAL PARK DRIVE,CONCORD,NC,28025.0,,,
1802,004882,OREGON HEALTH & SCIENCE UNIVERSITY,,OR,NaN,Public,Subsidized,306,312,1451884.0,313,517385.0,004883,OREGON HEALTH & SCIENCE UNIVERSITY,3181 SW SAM JACKSON PK RD L109,PORTLAND,OR,97239.0,,,
1803,020794,EMPIRE BEAUTY SCHOOL,,PA,NaN,Proprietary,Subsidized,253,253,789876.0,273,430152.0,009664,EMPIRE BEAUTY SCHOOL,1634 MACARTHUR ROAD,WHITEHALL,PA,18052.0,,,
1803,020794,EMPIRE BEAUTY SCHOOL,,PA,NaN,Proprietary,Subsidized,253,253,789876.0,273,430152.0,010542,EMPIRE BEAUTY SCHOOL,3370 BIRNEY AVENUE,MOOSIC,PA,18507.0,,,
1803,020794,EMPIRE BEAUTY SCHOOL,,PA,NaN,Proprietary,Subsidized,253,253,789876.0,273,430152.0,012606,EMPIRE BEAUTY SCHOOL,396 POTTSVILLE - ST. CLAIRE HIGHWAY,POTTSVILLE,PA,17901.0,,,
1803,020794,EMPIRE BEAUTY SCHOOL,,PA,NaN,Proprietary,Subsidized,253,253,789876.0,273,430152.0,014150,EMPIRE BEAUTY SCHOOL,KNIGHTS ROAD SHOPPING CENTER,PHILADELPHIA,PA,19154.0,,,
1805,025587,PRISM CAREER INSTITUTE,,PA,NaN,Proprietary,Subsidized,221,221,727093.0,222,363923.0,017158,PRISM CAREER INSTITUTE,8040 ROOSEVELT BOULEVARD,PHILADELPHIA,PA,19152.0,,,
1812,025720,VISTA COLLEGE,,TX,NaN,Proprietary,Subsidized,552,552,1584903.0,585,729013.0,017276,VISTA COLLEGE,6101 MONTANA AVENUE,EL PASO,TX,79925.0,,,
1817,004999,BELLINGHAM TECHNICAL COLLEGE,,WA,NaN,Public,Subsidized,117,117,416076.0,159,177526.0,016227,BELLINGHAM TECHNICAL COLLEGE,3028 LINDBERGH AVENUE,BELLINGHAM,WA,98225.0,,,
1830,005034,AMERICAN UNIVERSITY IN CAIRO (THE),,,NaN,Foreign-Private,Subsidized,7,7,29315.0,7,15533.0,,,,,,,,,
1835,005273,GATEWAY COMMUNITY AND TECHNICAL COLLEGE,,KY,NaN,Public,Subsidized,303,303,1008752.0,303,504391.0,,,,,,,,,
1847,023405,ST. LOUIS COLLEGE OF HEALTH CAREERS,,MO,NaN,Proprietary,Subsidized,149,149,516616.0,155,293120.0,016848,ST. LOUIS COLLEGE OF HEALTH CAREERS,1297 NORTH HIGHWAY DRIVE,FENTON,MO,63026.0,,,
1854,042065,MYCOMPUTERCAREER.COM,,NC,NaN,Proprietary,Subsidized,229,229,789131.0,230,395147.0,G42065,MYCOMPUTERCAREER.COM,5511 CAPITAL CENTER DRIVE,RALEIGH,NC,27606.0,,,
1879,009740,INVER HILLS COMMUNITY COLLEGE,,MN,NaN,Public,Subsidized,400,420,1350147.0,420,781048.0,006935,INVER HILLS COMMUNITY COLLEGE,2500 80TH STREET EAST,INVER GROVE HEIGHTS,MN,55076.0,,,
1886,005752,CLOVER PARK TECHNICAL COLLEGE,,WA,NaN,Public,Subsidized,102,103,335698.0,180,203542.0,015984,CLOVER PARK TECHNICAL COLLEGE,4500 STEILACOOM BLVD SW,LAKEWOOD,WA,98499.0,,,
1887,021907,FORTIS COLLEGE,,OH,NaN,Proprietary,Subsidized,444,446,1372193.0,517,542042.0,009412,FORTIS COLLEGE,2545 BAILEY ROAD,CUYAHOGA FALLS,OH,44221.0,,,
1887,021907,FORTIS COLLEGE,,OH,NaN,Proprietary,Subsidized,444,446,1372193.0,517,542042.0,012267,FORTIS COLLEGE,555 EAST ALEX BELL ROAD,CENTERVILLE,OH,45459.0,,,
1903,006322,SIGNATURE HEALTHCARE BROCKTON HOSPITAL SCHOOL OF NURSING,,MA,NaN,Private-Nonprofit,Subsidized,100,100,413109.0,100,206556.0,,,,,,,,,
1909,021323,FORTIS INSTITUTE,,NJ,NaN,Proprietary,Subsidized,319,319,912546.0,372,414122.0,014968,FORTIS INSTITUTE,201 WILLOWBROOK BOULEVARD,WAYNE,NJ,7470.0,,,
1914,021700,SWEDISH INSTITUTE,,NY,NaN,Proprietary,Subsidized,256,256,850677.0,335,425647.0,016904,SWEDISH INSTITUTE,226 W 26TH ST,NEW YORK,NY,10001.0,,,
1923,006565,READING HOSPITAL SCHOOL OF HEALTH SCIENCES,,PA,NaN,Private-Nonprofit,Subsidized,149,149,566150.0,149,294756.0,,,,,,,,,
1924,021274,YTI CAREER INSTITUTE,,PA,NaN,Proprietary,Subsidized,155,155,521371.0,181,208216.0,,,,,,,,,
1928,021073,PENNSYLVANIA ACADEMY OF THE FINE ARTS,,PA,NaN,Private-Nonprofit,Subsidized,55,55,251950.0,55,134912.0,,,,,,,,,
